QKEY,INTERVIEW_START_W69,INTERVIEW_END_W69,DEVICE_TYPE_W69,LANG_W69,FORM_W69,SATIS_W69,POL1DT_W69,POL1DTSTR_W69,FUTGEN_W69,FEEL_COUNTRY_ANGRY_W69,FEEL_COUNTRY_FEAR_W69,FEEL_COUNTRY_HOPEFUL_W69,FEEL_COUNTRY_PROUD_W69,PRZCMPGN_W69,VOTEGEN_W69,VOTEGEN3_W69,DTFORAGNST_W69,JBFORAGNST_W69,SATISPRESCAND_W69,ECON1_W69,ECON1B_W69,NATPROBS_a_W69,NATPROBS_b_W69,NATPROBS_c_W69,NATPROBS_d_W69,NATPROBS_e_W69,NATPROBS_f_W69,NATPROBS_g_W69,NATPROBS_h_W69,NATPROBS_i_W69,NATPROBS_j_W69,CENDONE_W69,CENPARTICMOD_W69,CENCOUNT_W69,CENKNOCK_W69,VTEARLYDOC_W69,COVID_DOC_W69,PRESGOODTRUMP_W69,PRESGOODBIDEN_W69,DTCONF_a_W69,DTCONF_b_W69,DTCONF_c_W69,DTCONF_d_W69,DTCONF_e_W69,DTCONF_f_W69,JBCONF_a_W69,JBCONF_b_W69,JBCONF_c_W69,JBCONF_d_W69,JBCONF_e_W69,JBCONF_f_W69,COVID_FUT_W69,C_SHOULDMASK_W69,C_MASKREACT_W69,COVID_COMFORT_a_W69,COVID_COMFORT_b_W69,COVID_COMFORT_c_W69,COVID_COMFORT_d_W69,COVID_COMFORT_e_W69,COVID_COMFORT_f_W69,COVID_COMFORT_g_W69,COVID_COMFORT_COMB_W69,COVID_INDIMPCT_W69,COVID_2ASSIST_W69,COVID_ECONPRIO_a_W69,COVID_ECONPRIO_b_W69,COVID_ECONPRIO_c_W69,COVID_ECONPRIO_d_W69,COVID_ECONPRIO_e_W69,COVID_LIABILITY_W69,COVID_INFECT_a_W69,COVID_INFECT_b_W69,TRUMPDESC_a_W69,TRUMPDESC_b_W69,TRUMPDESC_c_W69,TRUMPDESC_d_W69,TRUMPDESC_e_W69,TRUMPDESC_f_W69,BIDENDESC_a_W69,BIDENDESC_b_W69,BIDENDESC_c_W69,BIDENDESC_d_W69,BIDENDESC_e_W69,BIDENDESC_f_W69,TRUMPTAX_W69,DTTONE_W69,POLICE3F2_a_W69,POLICE3F2_b_W69,POLICE3F2_c_W69,POLICE3F2_d_W69,GOVNEEDY_W69,VTCHNGRULES_W69,EXCPWER_W69,POLICE_FUND_W69,POLICE_POLICIES_a_W69,POLICE_POLICIES_b_W69,POLICE_POLICIES_c_W69,POLICE_POLICIES_d_W69,POLICE_POLICIES_e_W69,POLICEQ_IMMUNITY_W69,SNSUSE_W69,SM10_a_W69,SM10_b_W69,SM10_c_W69,SM10_e_W69,SM11_a_W69,SM11_b_W69,SM11_c_W69,TECHREG1F1_W69,TECHREG1F2_W69,TECHREG2_W69,TECHPOW_W69,TC5_W69,TC6b_W69,SM7_W69,RACE_SERMON_W69,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_NATIVITY2,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_INC_TIER2,F_HISP_ORIGIN,F_YEARSINUS,F_PARTYSUMIDEO,POL1DT_W59,POL1DTSTR_W59,POL1DT_W64,POL1DTSTR_W64,DEMFIELD_W59,TRUMPDEM2020_W59,DEM1_CODE_FINAL_W59,COVID_DEATHS_CNTY_W69,BATTLE_NARROW_W69,WEIGHT_W69_CENSUS,WEIGHT_W59_W69,WEIGHT_W64_W69,WEIGHT_W69
104689,2020-6-17 10:21:17.000,2020-6-17 10:37:36.000,2,1,1,2,2,1,3,2,2,1,2,1,2, , ,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1, ,1, ,2, ,5,2,4,4,4,4,3,4,1,1,1,1,1,1,2,2,1,1,1,1,2, , , ,1,1,1,2,2,1,1,4,1,2,2,3,4,4,4,3,4,1,1,1,1,2,1, ,2,3,3,4,2,1,2,2,3,2,1,1,2,1,2,1,2,2,2,2,3,3,3,3, ,3,3,3,3, ,2,2,2,3,4,2,3,2,2,1,1,1,1,5,1,2,2,2, ,2,3,3,1,3,1,1,2,6,1,3,2,1,2,1,1,4,2,2,3,0.37660178697577046,0.33452188167887753,0.354814457013579,0.3575264445363894
104727,2020-6-20 6:39:19.000,2020-6-20 6:51:35.000,1,1,2,2,1,1,3,1,2,1,2,1,1, ,1, ,2,2,1,3,2,2,2,3,1,1,2,3,2,1, ,2, ,1,2,2,5,2,2,2,2,2,2,4,4,4,4,4,4,1,4,3,1, , , ,1,1,1,1,3,2,2,3,2,2,3,1,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2, ,2,2,2,1,2,2,1,3,3,2,4,4,4,1,1,1,2,2,2,3,3,3, ,4,2,3,2, ,2,3,2,2,3,3,1,3,2,2,1,1,1,1,1,2,2,5,1, ,1,8,1,1,3,1,2,3,6,1,2,1,1,1,1, ,1, ,1,3,1.799166603994504,1.6792821887893525,1.9223799853175965,1.941379682841904
104937,2020-6-18 7:14:3.000,2020-6-18 7:34:17.000,1,1,1,2,2,1,2,1,1,2,2,1,2, , ,2,3,3,2,1,1,2,1,2,1,4,1,1,3,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,2,2,2,2,2,2,1,1,1,2,2,2, , , ,2,1,1,1,1,2,1,4,2,1,1,4,4,4,4,3,4,2,1,2,1,1,1, ,2,4,3,4,3,1,2,2,3,2,1,1,1,1,2,2, , , , , , , ,1, ,2,1,1,2, ,3,1,3,5,4,1,1,6,2,1,1,1,1,3,12, ,6,2, ,2,8,1,1,3,1,2,3,6,1,3,2,1,2,1,2,4,22,1,3,0.34270747277736757,0.35970845906805704,0.3497265952763741,0.363585548717576
106590,2020-6-17 10:56:9.000,2020-6-17 11:10:7.000,2,1,2,2,1,1,3,1,2,1,1,1,1, ,2, ,4,2,1,1,1,2,1,1,2,1,3,2,2,1, ,2, ,1,2,2,4,2,1,1,2,1,3,2,4,4,3,3,2,1,1,1,1, , , ,1,2,1,1,2,2,2,2,2,2,3,1,1,1,2,2,2,2,1,2,3,1,2,2,3,2,2, ,3,3,4,1,1,1,2,2,4,1,3,1,1,1,1,2,2,1,1,4,4,4, ,4,4,1,1, ,1,1,1,4,9,3,2,1,6,2,1,1,1,1,1,12, ,5,3,1,1,8,1,1,3,1,1,3,6,1,2,1,1,1,1, ,2, ,1,1,0.7508969363768285,0.6975337573440419,0.7304854474495738,0.7765312900989866
106960,2020-6-19 14:54:43.000,2020-6-19 15:14:42.000,1,1,1,2,2,1,1,1,1,1,2,1,2, , ,1,2,3,3,1,1,2,1,2,2,2,1,2,1,1, ,2, ,2, ,4,2,4,4,3,3,3,4,1,2,1,1,1,2,2,1,3,1,1,2,2, , , ,1,1,1,1,2,2,1,3,2,2,2,3,4,4,4,3,4,1,1,1,2,2,1, ,2,3,2,3,2,1,2,2,4,1,1,2,1,1,99,2, , , , , , , ,1, ,2,3,3,3, ,2,1,2,3,4,2,2,3,2,1,1,1,1,1,2,2,2,2, ,2,5,2,1,3,1,2,2,6,1,3,2,1, , ,2,4,2,2,4,0.35261490172804844,0.31591991405278763, ,0.34602168881611095
107329,2020-6-17 14:28:8.000,2020-6-17 14:39:57.000,2,1,1,2,2,1,1,1,1,2,2,3,2, , ,1,2,4,3,1,1,2,1,2,1,3,1,1,3,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,1,2,2,2,1,2,1,1,2,2,2,2, , , ,2,1,1,1,1,1,1,4,2,2,2,4,4,4,4,4,4,2,1,2,2,1,1, ,2,4,4,4,3,1,2,2,5,1,1,1,1,1,99,1,2,1,2,2,2,1,1,1, ,2,1,1,2, ,3,1,1,2,3,2,1,5,2,2,2,1,1,6,2,2,5,2, ,2,5,2,1,5,1,2,2,6,1,4,2,1,99, ,2,4,22,3,1,0.6915501553877609,0.7438865691646233,0.7802950771863235,0.7470125497172267
108035,2020-6-17 13:52:1.000,2020-6-17 14:9:7.000,2,1,1,2,1,1,1,1,2,1,2,1,1, ,1, ,1,1,1,3,2,1,1,1,3,1,3,4,2,1, ,3, ,1,2,1,5,1,1,1,1,1,1,4,4,4,4,4,4,1,4,3,1,1,1,1, , , ,1,3,2,3,4,4,2,4,1,4,4,1,1,2,1,1,1,4,4,4,4,4,4, ,1,1,1,1,1,2,1,1,1,3,2,4,3,2,1,2, , , , , , , ,4, ,4,1,2,1, ,2,1,4,8,3,1,3,1,2,1,1,1,1,1,1,2,3,1, ,1,8,1,1,2,1,1,3,6,1,1,1,1,1,1, ,1, ,1,5,0.5515489254172979,0.5309678014771535,0.551783974882259,0.5972606711137183
108348,2020-6-17 15:15:8.000,2020-6-17 15:25:1.000,1,1,2,1,1,1,3,2,2,1,1,2,1, ,1, ,3,2,1,3,2,2,2,2,2,1,2,2,1,1, ,2, ,1,2,2,4,2,2,2,2,2,2,3,3,4,4,3,4,2,2,1,1, , , ,1,2,1,1,1,2,2,3,3,2,4,2,3,3,2,2,3,2,2,2,4,3,2,3,2,3,2, ,1,1,1,1,2,1,2,2,2,3,3,2,2,2,1,2,2,2,1,2,3,3, ,2,3,3,3, ,2,2,1,4,8,3,2,2,3,2,1,1,1,1,6,1,1,2,3,1,1,5,2,1,2,1,2,2,6,1,1,1,1,1,1, ,2, ,2,3,0.7945605068133221,0.7537483213696108,0.787972598842843,0.8749934031635823
108435,2020-6-17 12:11:32.000,2020-6-17 12:23:53.000,1,1,2,1,1,1,3,1,2,1,1,1,1, ,1, ,2,3,1,2,2,2,2,2,2,3,1,3,1,1, ,2, ,2, ,1,5,2,2,1,2,2,3,4,4,4,4,4,3,1,2,1,1, , , ,1,2,1,1,1,1,3,3,2,2,2,1,3,3,1,2,3,2,1,2,3,3,4,3,4,2,2, ,3,2,2,2,99,99,2,3,2,2,1,2,1,1,2, , , , , , , , ,4,4,1,1, ,1,1,1,2,3,3,2,1,6,2,1,1,1,1,1,2,2,4,1, ,1,9,1,1,2,1,2,3,6,1,1,1,1,1,1, ,1, ,3,5,0.8559940835776473,0.7339207695398835,0.7182368491214396,0.8810079017695293
109143,2020-6-17 10:42:50.000,2020-6-17 11:22:40.000,2,1,2,1,1,1,3,2,2,1,1,1,1, ,1, ,2,2,1,3,2,2,3,3,2,2,2,3,2,1, ,2, ,1,2,1,4,2,2,1,2,2,2,3,3,4,4,4,4,1,4,3,1, , , ,1,1,1,1,1,1,2,4,2,3,2,1,3,4,1,2,3,1,2,2,4,4,2,4,3,4,2, ,1,2,2,1,2,1,2,3,3,3,3,1,3,1,2, , , , , , , , ,3,4,1,3, ,1,3,1,3,5,2,2,3,2,2,1,1,1,1,1,1,2,5,1, ,1,6,2,1,3,1,1,2,6,1,2,1,1,1,1, ,1, ,3,3,0.36001905877726725,0.37047803589223266,0.3409996514137314,0.39629860136077827
110550,2020-6-19 8:12:26.000,2020-6-19 9:1:48.000,2,1,1,2,1,1,3,2,1,1,1,1,1, ,1, ,3,2,1,4,2,3,3,1,2,2,1,3,1,1, ,3, ,1,2,1,5,1,2,1,1,1,3,3,4,3,3,3,2,1,3,1,1,2,2,2, , , ,2,1,2,1,3,1,1,1,1,3,3,1,2,3,1,1,1,1,3,3,3,4,3, ,1,2,2,1,2,2,1,1,3,2,2,4,2,2,1,1,2,2,2,2,2,3,3,4, ,4,3,3,1, ,1,1,3,6,3,1,1,5,2,1,1,1,1,1,1,1,1,4,1,1,8,1,1,3,1,1,3,6,1,2,1,1,1,1, ,1, ,1,5,0.4919211672473627,0.4661937648475291,0.4949947371273026,0.5228943969388747
111665,2020-6-17 14:40:50.000,2020-6-17 14:58:13.000,1,1,1,2,2,1,1,1,1,2,2,1,2, , ,2,1,3,2,1,1,1,1,3,1,3,1,1,2,1, ,2, ,2, ,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1,2,2,2, , , ,2,1,1,1,1,1,1,4,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1, ,2,3,3,2,2,1,2,2,3,3,3,2,1,1,1,2, , , , , , , ,1, ,1,1,1,2, ,1,1,4,9,3,2,2,3,1,1,3,1,1,1,2,1,4,3,2,2,7,1,1,4,1,1,2,1,1,4,2,1,2,1,2,3,19,1,1,0.0703853293313527,0.08164275619997768,0.10224182735642721,0.07806851299108432
112238,2020-6-17 10:24:8.000,2020-6-17 10:40:31.000,1,1,1,2,1,1,3,1,2,1,1,2,1, ,1, ,1,2,1,3,2,3,1,3,2,1,2,3,2,1, ,2, ,1,1,1,5,1,1,1,1,1,1,4,4,4,4,4,4,1,3,3,1,1,1,1, , , ,1,2,2,2,3,2,3,3,1,3,3,1,2,3,2,2,1,3,4,3,4,2,3, ,1,2,2,2,2,2,2,1,2,2,2,3,2,2,1,1,2,2,2,2,2,2,2,3, ,3,1,3,3, ,3,1,4,8,3,2,3,2,2,1,1,1,1,5,12, ,5,1, ,1,5,2,1,2,1,2,2,6,1,1,1,1,1,1, ,1, ,1,5,0.798319871535845,0.9180756919812898,0.8872373213643582,0.8557567070641897
112490,2020-6-17 11:5:27.000,2020-6-17 11:29:30.000,2,1,1,2,2,1,1,2,1,2,2,2,2, , ,1,2,3,1,2,1,1,2,2,1,2,1,2,2,1, ,2, ,2, ,4,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,3,1,1,2,2, , , ,1,1,1,1,1,1,1,4,1,2,2,4,4,4,4,3,4,2,2,2,2,2,2, ,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1, ,2,3,3,3, ,2,2,2,4,3,2,2,4,2,1,1,1,1,1,2,2,3,2, ,2,4,2,1,3,1,1,2,6,1,3,2,1,2,1,2,4,19,1,4,0.671612783632338,0.6098650938722511,0.6255928785059796,0.6503969780496959
112613,2020-6-19 14:19:26.000,2020-6-19 14:33:13.000,1,1,2,2,1,1,3,1,1,1,99,1,1, ,1, ,2,2,1,1,2,1,2,2,1,2,1,2,1,1, ,2, ,2, ,1,4,1,1,1,2,1,2,4,4,4,3,4,4,2,1,1,1, , , ,1,2,1,1,1,99,3,1,1,1,1,1,2,3,1,2,3,2,1,1,4,3,3,3,4,3,2, ,3,2,2,1,99,2,1,3,3,1,2,1,1,1,1,2,2,2,2,3,3,3, ,4,3,1,3, ,1,3,1,3,5,4,2,1,6,2,1,1,1,1,6,1,2,4,1, ,1,8,1,1,3,1,1,3,6,1,2,1,1,1,1, ,2, ,2,3,0.8415006484645777,0.876941016008364,0.9236870851856341,0.8825792903108209
112984,2020-6-17 13:32:34.000,2020-6-17 13:45:30.000,2,1,1,2,2,2,1,1,1,2,2,1,2, , ,1,2,4,3,1,1,3,1,2,1,3,1,1,1,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,2,2,1,2,2,2,1,1,1,1,2,2, , , ,1,1,1,1,1,1,1,4,2,3,1,4,4,4,4,4,4,1,1,1,1,2,1, ,2,4,4,3,3,1,2,1,3,1,1,1,1,1,2,2, , , , , , , ,4, ,3,1,1,2, ,3,1,3,5,3,2,1,6,2,1,1,1,1,1,12, ,5,2, ,2,8,1,1,5,2,1,3,6,1,4,2,1,2,2,1,4,2,3,2,0.21837911039630772,0.22006283640983806,0.20119307792457647,0.23122895668000246
113248,2020-6-17 14:16:45.000,2020-6-17 16:26:24.000,2,1,2,2,2,1,2,2,1,2,2,1,2, , ,1,2,4,3,1,1,1,1,3,1,3,1,2,2,1, ,2, ,2, ,5,1,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,1, , , ,1,2,2,1,1,1,1,1,1,1,3,2,4,4,4,4,4,4,4,4,1,1,2,2,2,1,1, ,4,4,4,3,1,2,2,5,1,1,1,1,1,2,2, , , , , , , , ,2,2,3,1, ,3,2,1,3,5,3,1,1,6,2,99,99,1,1,1,11,2,2,3,2,2,9,1,1,2,1,2,3,6,1,3,2,1,2,1,2,4,2,2,4,0.30552757676434106,0.33603803718700787,0.32771414068232135,0.3343111952571154
